Date,marketCap
22-Sep-17,"60,152,300,000"
21-Sep-17,"64,677,600,000"
20-Sep-17,"64,918,500,000"
19-Sep-17,"67,520,300,000"
18-Sep-17,"59,514,100,000"
17-Sep-17,"59,757,800,000"
16-Sep-17,"60,271,600,000"
15-Sep-17,"52,453,500,000"
14-Sep-17,"64,191,600,000"
13-Sep-17,"68,432,200,000"
12-Sep-17,"69,033,400,000"
11-Sep-17,"68,256,000,000"
10-Sep-17,"70,018,100,000"
9-Sep-17,"70,017,200,000"
8-Sep-17,"76,220,200,000"
7-Sep-17,"75,945,000,000"
6-Sep-17,"72,418,700,000"
5-Sep-17,"69,954,400,000"
4-Sep-17,"75,955,500,000"
3-Sep-17,"75,841,700,000"
2-Sep-17,"81,060,600,000"
1-Sep-17,"77,748,400,000"
31-Aug-17,"75,322,300,000"
30-Aug-17,"75,556,600,000"
29-Aug-17,"72,553,800,000"
28-Aug-17,"72,467,900,000"
27-Aug-17,"71,809,200,000"
26-Aug-17,"72,249,100,000"
25-Aug-17,"71,595,100,000"
24-Aug-17,"68,363,900,000"
23-Aug-17,"67,553,000,000"
22-Aug-17,"66,051,000,000"
21-Aug-17,"67,567,100,000"
20-Aug-17,"69,192,700,000"
19-Aug-17,"68,333,100,000"
18-Aug-17,"71,406,500,000"
17-Aug-17,"72,389,100,000"
16-Aug-17,"69,342,700,000"
15-Aug-17,"71,425,500,000"
14-Aug-17,"67,112,300,000"
13-Aug-17,"64,034,100,000"
12-Aug-17,"60,242,100,000"
11-Aug-17,"55,668,000,000"
10-Aug-17,"55,134,700,000"
9-Aug-17,"56,424,900,000"
8-Aug-17,"55,590,300,000"
7-Aug-17,"52,987,300,000"
6-Aug-17,"53,720,900,000"
5-Aug-17,"47,778,200,000"
4-Aug-17,"46,276,200,000"
3-Aug-17,"44,666,400,000"
2-Aug-17,"44,950,800,000"
1-Aug-17,"47,321,800,000"
31-Jul-17,"45,535,800,000"
30-Jul-17,"44,890,700,000"
29-Jul-17,"46,246,700,000"
28-Jul-17,"44,144,400,000"
27-Jul-17,"41,816,500,000"
26-Jul-17,"42,455,000,000"
25-Jul-17,"45,410,100,000"
24-Jul-17,"44,995,600,000"
23-Jul-17,"46,231,100,000"
22-Jul-17,"43,929,600,000"
21-Jul-17,"46,719,000,000"
20-Jul-17,"37,356,800,000"
19-Jul-17,"38,227,800,000"
18-Jul-17,"36,749,400,000"
17-Jul-17,"31,795,000,000"
16-Jul-17,"32,767,600,000"
15-Jul-17,"36,681,300,000"
14-Jul-17,"38,823,100,000"
13-Jul-17,"39,511,000,000"
12-Jul-17,"38,355,900,000"
11-Jul-17,"39,224,200,000"
10-Jul-17,"41,509,000,000"
9-Jul-17,"42,283,200,000"
8-Jul-17,"41,417,700,000"
7-Jul-17,"42,864,200,000"
6-Jul-17,"42,851,400,000"
5-Jul-17,"42,760,800,000"
4-Jul-17,"42,067,900,000"
3-Jul-17,"41,037,200,000"
2-Jul-17,"40,010,500,000"
1-Jul-17,"40,928,200,000"
30-Jun-17,"41,689,100,000"
29-Jun-17,"42,150,300,000"
28-Jun-17,"41,906,700,000"
27-Jun-17,"40,677,900,000"
26-Jun-17,"42,514,000,000"
25-Jun-17,"42,783,800,000"
24-Jun-17,"44,932,900,000"
23-Jun-17,"44,415,900,000"
22-Jun-17,"44,143,700,000"
21-Jun-17,"44,440,800,000"
20-Jun-17,"42,498,000,000"
19-Jun-17,"41,800,600,000"
18-Jun-17,"43,539,300,000"
17-Jun-17,"41,217,200,000"
16-Jun-17,"40,484,100,000"
15-Jun-17,"40,971,300,000"
14-Jun-17,"44,528,300,000"
13-Jun-17,"43,934,100,000"
12-Jun-17,"48,391,200,000"
11-Jun-17,"48,208,700,000"
10-Jun-17,"46,331,400,000"
9-Jun-17,"45,987,100,000"
8-Jun-17,"44,557,100,000"
7-Jun-17,"46,989,800,000"
6-Jun-17,"44,061,000,000"
5-Jun-17,"41,133,900,000"
4-Jun-17,"41,708,200,000"
3-Jun-17,"40,817,100,000"
2-Jun-17,"39,344,600,000"
1-Jun-17,"37,446,200,000"
31-May-17,"35,786,700,000"
30-May-17,"36,897,000,000"
29-May-17,"35,323,500,000"
28-May-17,"33,595,900,000"
27-May-17,"35,917,100,000"
26-May-17,"37,950,600,000"
25-May-17,"39,995,400,000"
24-May-17,"37,949,200,000"
23-May-17,"35,822,600,000"
22-May-17,"33,393,600,000"
21-May-17,"33,779,400,000"
20-May-17,"32,422,400,000"
19-May-17,"30,999,000,000"
18-May-17,"29,710,500,000"
17-May-17,"28,204,800,000"
16-May-17,"28,446,300,000"
15-May-17,"29,532,600,000"
14-May-17,"29,405,100,000"
13-May-17,"28,132,300,000"
12-May-17,"30,131,100,000"
11-May-17,"29,060,600,000"
10-May-17,"28,668,100,000"
9-May-17,"28,132,200,000"
8-May-17,"26,056,500,000"
7-May-17,"25,768,500,000"
6-May-17,"25,395,600,000"
5-May-17,"25,133,100,000"
4-May-17,"24,311,900,000"
3-May-17,"23,707,100,000"
2-May-17,"23,170,200,000"
1-May-17,"21,981,800,000"
30-Apr-17,"21,548,400,000"
29-Apr-17,"21,479,800,000"
28-Apr-17,"21,476,000,000"
27-Apr-17,"20,889,200,000"
26-Apr-17,"20,627,900,000"
25-Apr-17,"20,372,300,000"
24-Apr-17,"19,705,400,000"
23-Apr-17,"20,066,200,000"
22-Apr-17,"19,913,900,000"
21-Apr-17,"20,020,700,000"
20-Apr-17,"19,719,900,000"
19-Apr-17,"19,734,800,000"
18-Apr-17,"19,433,800,000"
17-Apr-17,"19,260,500,000"
16-Apr-17,"19,085,100,000"
15-Apr-17,"18,996,500,000"
14-Apr-17,"19,043,800,000"
13-Apr-17,"19,541,300,000"
12-Apr-17,"19,600,800,000"
11-Apr-17,"19,316,000,000"
10-Apr-17,"19,311,200,000"
9-Apr-17,"19,134,400,000"
8-Apr-17,"19,068,600,000"
7-Apr-17,"19,168,500,000"
6-Apr-17,"18,302,600,000"
5-Apr-17,"18,435,700,000"
4-Apr-17,"18,619,000,000"
3-Apr-17,"17,924,600,000"
2-Apr-17,"17,559,400,000"
1-Apr-17,"17,413,000,000"
31-Mar-17,"16,679,000,000"
30-Mar-17,"16,929,800,000"
29-Mar-17,"16,990,900,000"
28-Mar-17,"16,964,500,000"
27-Mar-17,"15,785,000,000"
26-Mar-17,"15,814,800,000"
25-Mar-17,"15,204,800,000"
24-Mar-17,"16,857,000,000"
23-Mar-17,"17,043,400,000"
22-Mar-17,"18,187,100,000"
21-Mar-17,"17,125,600,000"
20-Mar-17,"16,829,800,000"
19-Mar-17,"15,846,000,000"
18-Mar-17,"17,838,700,000"
17-Mar-17,"19,141,800,000"
16-Mar-17,"20,293,700,000"
15-Mar-17,"20,110,400,000"
14-Mar-17,"19,978,200,000"
13-Mar-17,"19,807,700,000"
12-Mar-17,"19,073,300,000"
11-Mar-17,"18,093,700,000"
10-Mar-17,"19,275,300,000"
9-Mar-17,"18,640,900,000"
8-Mar-17,"19,819,800,000"
7-Mar-17,"20,627,100,000"
6-Mar-17,"20,531,900,000"
5-Mar-17,"20,316,000,000"
4-Mar-17,"20,688,800,000"
3-Mar-17,"20,253,700,000"
2-Mar-17,"19,829,800,000"
1-Mar-17,"19,104,800,000"
28-Feb-17,"19,113,600,000"
27-Feb-17,"18,837,300,000"
26-Feb-17,"18,518,900,000"
25-Feb-17,"18,939,500,000"
24-Feb-17,"18,974,400,000"
23-Feb-17,"18,075,200,000"
22-Feb-17,"18,033,400,000"
21-Feb-17,"17,456,900,000"
20-Feb-17,"16,960,200,000"
19-Feb-17,"17,056,600,000"
18-Feb-17,"16,964,800,000"
17-Feb-17,"16,589,600,000"
16-Feb-17,"16,289,100,000"
15-Feb-17,"16,264,100,000"
14-Feb-17,"16,028,000,000"
13-Feb-17,"16,141,500,000"
12-Feb-17,"16,214,700,000"
11-Feb-17,"15,976,700,000"
10-Feb-17,"16,083,600,000"
9-Feb-17,"17,197,100,000"
8-Feb-17,"17,156,700,000"
7-Feb-17,"16,796,600,000"
6-Feb-17,"16,605,400,000"
5-Feb-17,"16,847,400,000"
4-Feb-17,"16,648,800,000"
3-Feb-17,"16,326,100,000"
2-Feb-17,"15,977,800,000"
1-Feb-17,"15,667,900,000"
31-Jan-17,"14,859,700,000"
30-Jan-17,"14,844,900,000"
29-Jan-17,"14,874,000,000"
28-Jan-17,"14,835,800,000"
27-Jan-17,"14,810,400,000"
26-Jan-17,"14,551,200,000"
25-Jan-17,"14,380,700,000"
24-Jan-17,"14,681,400,000"
23-Jan-17,"14,918,800,000"
22-Jan-17,"14,863,600,000"
21-Jan-17,"14,432,000,000"
20-Jan-17,"14,472,100,000"
19-Jan-17,"14,311,700,000"
18-Jan-17,"14,648,900,000"
17-Jan-17,"13,383,900,000"
16-Jan-17,"13,234,600,000"
15-Jan-17,"13,174,300,000"
14-Jan-17,"13,285,200,000"
13-Jan-17,"12,939,100,000"
12-Jan-17,"12,477,600,000"
11-Jan-17,"14,615,700,000"
10-Jan-17,"14,522,600,000"
9-Jan-17,"14,694,900,000"
8-Jan-17,"14,611,400,000"
7-Jan-17,"14,534,400,000"
6-Jan-17,"16,314,100,000"
5-Jan-17,"18,604,000,000"
4-Jan-17,"16,795,400,000"
3-Jan-17,"16,426,600,000"
2-Jan-17,"16,055,100,000"
1-Jan-17,"15,491,200,000"
31-Dec-16,"15,440,700,000"
30-Dec-16,"15,630,200,000"
29-Dec-16,"15,670,000,000"
28-Dec-16,"15,020,500,000"
27-Dec-16,"14,593,300,000"
26-Dec-16,"14,407,800,000"
25-Dec-16,"14,450,100,000"
24-Dec-16,"14,810,300,000"
23-Dec-16,"13,888,600,000"
22-Dec-16,"13,393,800,000"
21-Dec-16,"12,853,700,000"
20-Dec-16,"12,717,600,000"
19-Dec-16,"12,691,100,000"
18-Dec-16,"12,694,800,000"
17-Dec-16,"12,599,600,000"
16-Dec-16,"12,498,800,000"
15-Dec-16,"12,511,700,000"
14-Dec-16,"12,512,900,000"
13-Dec-16,"12,521,500,000"
12-Dec-16,"12,349,800,000"
11-Dec-16,"12,423,600,000"
10-Dec-16,"12,394,500,000"
9-Dec-16,"12,344,000,000"
8-Dec-16,"12,312,500,000"
7-Dec-16,"12,248,900,000"
6-Dec-16,"12,159,400,000"
5-Dec-16,"12,393,100,000"
4-Dec-16,"12,363,600,000"
3-Dec-16,"12,467,800,000"
2-Dec-16,"12,134,800,000"
1-Dec-16,"11,949,200,000"
30-Nov-16,"11,791,600,000"
29-Nov-16,"11,790,900,000"
28-Nov-16,"11,727,800,000"
27-Nov-16,"11,773,800,000"
26-Nov-16,"11,869,600,000"
25-Nov-16,"11,851,100,000"
24-Nov-16,"11,916,500,000"
23-Nov-16,"12,029,000,000"
22-Nov-16,"11,834,200,000"
21-Nov-16,"11,698,900,000"
20-Nov-16,"12,027,500,000"
19-Nov-16,"12,025,400,000"
18-Nov-16,"11,846,000,000"
17-Nov-16,"11,911,300,000"
16-Nov-16,"11,370,700,000"
15-Nov-16,"11,283,400,000"
14-Nov-16,"11,214,600,000"
13-Nov-16,"11,264,500,000"
12-Nov-16,"11,447,700,000"
11-Nov-16,"11,427,200,000"
10-Nov-16,"11,542,100,000"
9-Nov-16,"11,333,000,000"
8-Nov-16,"11,224,000,000"
7-Nov-16,"11,344,800,000"
6-Nov-16,"11,233,000,000"
5-Nov-16,"11,227,200,000"
4-Nov-16,"10,996,400,000"
3-Nov-16,"11,844,300,000"
2-Nov-16,"11,647,200,000"
1-Nov-16,"11,187,700,000"
31-Oct-16,"11,207,200,000"
30-Oct-16,"11,388,800,000"
29-Oct-16,"11,007,600,000"
28-Oct-16,"10,969,800,000"
27-Oct-16,"10,812,500,000"
26-Oct-16,"10,484,000,000"
25-Oct-16,"10,424,300,000"
24-Oct-16,"10,473,500,000"
23-Oct-16,"10,479,700,000"
22-Oct-16,"10,088,400,000"
21-Oct-16,"10,050,300,000"
20-Oct-16,"10,046,700,000"
19-Oct-16,"10,164,800,000"
18-Oct-16,"10,184,000,000"
17-Oct-16,"10,221,300,000"
16-Oct-16,"10,176,800,000"
15-Oct-16,"10,195,200,000"
14-Oct-16,"10,141,600,000"
13-Oct-16,"10,125,100,000"
12-Oct-16,"10,201,000,000"
11-Oct-16,"9,855,650,000"
10-Oct-16,"9,816,270,000"
9-Oct-16,"9,852,480,000"
8-Oct-16,"9,822,100,000"
7-Oct-16,"9,745,740,000"
6-Oct-16,"9,742,370,000"
5-Oct-16,"9,705,320,000"
4-Oct-16,"9,733,330,000"
3-Oct-16,"9,714,980,000"
2-Oct-16,"9,761,330,000"
1-Oct-16,"9,696,280,000"
30-Sep-16,"9,628,250,000"
29-Sep-16,"9,616,160,000"
28-Sep-16,"9,634,530,000"
27-Sep-16,"9,661,590,000"
26-Sep-16,"9,545,830,000"
25-Sep-16,"9,575,360,000"
24-Sep-16,"9,577,520,000"
23-Sep-16,"9,469,130,000"
22-Sep-16,"9,485,280,000"
21-Sep-16,"9,584,260,000"
20-Sep-16,"9,673,140,000"
19-Sep-16,"9,681,960,000"
18-Sep-16,"9,623,950,000"
17-Sep-16,"9,637,600,000"
16-Sep-16,"9,637,020,000"
15-Sep-16,"9,688,940,000"
14-Sep-16,"9,660,080,000"
13-Sep-16,"9,645,930,000"
12-Sep-16,"9,628,560,000"
11-Sep-16,"9,887,780,000"
10-Sep-16,"9,878,730,000"
9-Sep-16,"9,931,980,000"
8-Sep-16,"9,745,120,000"
7-Sep-16,"9,679,610,000"
6-Sep-16,"9,614,140,000"
5-Sep-16,"9,652,490,000"
4-Sep-16,"9,486,370,000"
3-Sep-16,"9,120,440,000"
2-Sep-16,"9,069,550,000"
1-Sep-16,"9,118,280,000"
31-Aug-16,"9,149,730,000"
30-Aug-16,"9,093,530,000"
29-Aug-16,"9,091,830,000"
28-Aug-16,"9,023,610,000"
27-Aug-16,"9,174,990,000"
26-Aug-16,"9,147,170,000"
25-Aug-16,"9,184,700,000"
24-Aug-16,"9,234,800,000"
23-Aug-16,"9,286,930,000"
22-Aug-16,"9,199,410,000"
