Date,marketCap
22-Sep-17,"2,507,060,000"
21-Sep-17,"2,591,910,000"
20-Sep-17,"2,450,240,000"
19-Sep-17,"2,524,200,000"
18-Sep-17,"2,359,070,000"
17-Sep-17,"2,257,850,000"
16-Sep-17,"2,150,800,000"
15-Sep-17,"1,784,040,000"
14-Sep-17,"2,275,100,000"
13-Sep-17,"2,452,930,000"
12-Sep-17,"2,404,680,000"
11-Sep-17,"2,431,230,000"
10-Sep-17,"2,439,780,000"
9-Sep-17,"2,527,540,000"
8-Sep-17,"2,591,570,000"
7-Sep-17,"2,612,980,000"
6-Sep-17,"2,474,300,000"
5-Sep-17,"2,388,710,000"
4-Sep-17,"2,689,920,000"
3-Sep-17,"2,670,270,000"
2-Sep-17,"2,962,400,000"
1-Sep-17,"2,844,110,000"
31-Aug-17,"2,773,030,000"
30-Aug-17,"2,704,790,000"
29-Aug-17,"2,685,760,000"
28-Aug-17,"2,725,220,000"
27-Aug-17,"3,009,530,000"
26-Aug-17,"2,369,010,000"
25-Aug-17,"2,388,160,000"
24-Aug-17,"2,200,130,000"
23-Aug-17,"2,180,790,000"
22-Aug-17,"2,103,900,000"
21-Aug-17,"2,204,480,000"
20-Aug-17,"2,162,080,000"
19-Aug-17,"1,685,040,000"
18-Aug-17,"1,753,350,000"
17-Aug-17,"1,736,000,000"
16-Aug-17,"1,527,710,000"
15-Aug-17,"1,496,920,000"
14-Aug-17,"1,485,500,000"
13-Aug-17,"1,539,490,000"
12-Aug-17,"1,543,820,000"
11-Aug-17,"1,502,990,000"
10-Aug-17,"1,493,200,000"
9-Aug-17,"1,524,040,000"
8-Aug-17,"1,470,120,000"
7-Aug-17,"1,413,570,000"
6-Aug-17,"1,447,880,000"
5-Aug-17,"1,397,060,000"
4-Aug-17,"1,395,520,000"
3-Aug-17,"1,367,150,000"
2-Aug-17,"1,381,630,000"
1-Aug-17,"1,336,810,000"
31-Jul-17,"1,291,390,000"
30-Jul-17,"1,382,710,000"
29-Jul-17,"1,379,860,000"
28-Jul-17,"1,445,720,000"
27-Jul-17,"1,453,370,000"
26-Jul-17,"1,456,070,000"
25-Jul-17,"1,519,340,000"
24-Jul-17,"1,422,690,000"
23-Jul-17,"1,451,390,000"
22-Jul-17,"1,384,830,000"
21-Jul-17,"1,402,760,000"
20-Jul-17,"1,151,530,000"
19-Jul-17,"1,174,490,000"
18-Jul-17,"1,148,330,000"
17-Jul-17,"983,325,000"
16-Jul-17,"1,037,360,000"
15-Jul-17,"1,197,760,000"
14-Jul-17,"1,273,130,000"
13-Jul-17,"1,334,790,000"
12-Jul-17,"1,224,620,000"
11-Jul-17,"1,288,140,000"
10-Jul-17,"1,453,580,000"
9-Jul-17,"1,554,430,000"
8-Jul-17,"1,454,000,000"
7-Jul-17,"1,576,370,000"
6-Jul-17,"1,558,330,000"
5-Jul-17,"1,354,980,000"
4-Jul-17,"1,333,710,000"
3-Jul-17,"1,282,650,000"
2-Jul-17,"1,224,910,000"
1-Jul-17,"1,343,300,000"
30-Jun-17,"1,310,690,000"
29-Jun-17,"1,353,710,000"
28-Jun-17,"1,307,820,000"
27-Jun-17,"1,203,160,000"
26-Jun-17,"1,277,190,000"
25-Jun-17,"1,346,200,000"
24-Jun-17,"1,397,190,000"
23-Jun-17,"1,306,270,000"
22-Jun-17,"1,322,590,000"
21-Jun-17,"1,384,740,000"
20-Jun-17,"1,484,670,000"
