Date,marketCap
22-Sep-17,"24,458,400,000"
21-Sep-17,"26,836,000,000"
20-Sep-17,"26,712,400,000"
19-Sep-17,"27,809,300,000"
18-Sep-17,"23,881,200,000"
17-Sep-17,"23,272,500,000"
16-Sep-17,"23,742,600,000"
15-Sep-17,"20,364,900,000"
14-Sep-17,"26,166,100,000"
13-Sep-17,"27,535,700,000"
12-Sep-17,"27,861,800,000"
11-Sep-17,"27,394,400,000"
10-Sep-17,"27,797,200,000"
9-Sep-17,"27,990,500,000"
8-Sep-17,"31,147,200,000"
7-Sep-17,"31,507,500,000"
6-Sep-17,"29,639,100,000"
5-Sep-17,"28,100,000,000"
4-Sep-17,"32,774,000,000"
3-Sep-17,"33,059,800,000"
2-Sep-17,"36,601,200,000"
1-Sep-17,"36,182,900,000"
31-Aug-17,"35,701,500,000"
30-Aug-17,"34,848,400,000"
29-Aug-17,"32,813,200,000"
28-Aug-17,"33,002,700,000"
27-Aug-17,"31,517,500,000"
26-Aug-17,"31,288,300,000"
25-Aug-17,"30,727,900,000"
24-Aug-17,"29,904,600,000"
23-Aug-17,"29,691,900,000"
22-Aug-17,"30,229,900,000"
21-Aug-17,"28,285,500,000"
20-Aug-17,"27,918,100,000"
19-Aug-17,"27,867,900,000"
18-Aug-17,"28,380,200,000"
17-Aug-17,"28,477,500,000"
16-Aug-17,"27,249,700,000"
15-Aug-17,"28,195,800,000"
14-Aug-17,"28,008,700,000"
13-Aug-17,"29,161,100,000"
12-Aug-17,"28,998,700,000"
11-Aug-17,"27,657,000,000"
10-Aug-17,"27,882,200,000"
9-Aug-17,"27,938,700,000"
8-Aug-17,"25,254,600,000"
7-Aug-17,"24,511,000,000"
6-Aug-17,"24,053,500,000"
5-Aug-17,"20,900,000,000"
4-Aug-17,"21,125,600,000"
3-Aug-17,"20,640,100,000"
2-Aug-17,"21,275,200,000"
1-Aug-17,"19,179,100,000"
31-Jul-17,"18,492,000,000"
30-Jul-17,"19,360,900,000"
29-Jul-17,"18,101,800,000"
28-Jul-17,"19,125,100,000"
27-Jul-17,"19,169,800,000"
26-Jul-17,"19,373,400,000"
25-Jul-17,"20,985,200,000"
24-Jul-17,"21,158,500,000"
23-Jul-17,"21,418,300,000"
22-Jul-17,"20,360,100,000"
21-Jul-17,"21,121,100,000"
20-Jul-17,"19,187,800,000"
19-Jul-17,"21,939,300,000"
18-Jul-17,"18,207,400,000"
17-Jul-17,"14,932,700,000"
16-Jul-17,"15,823,100,000"
15-Jul-17,"18,630,200,000"
14-Jul-17,"19,541,300,000"
13-Jul-17,"21,613,900,000"
12-Jul-17,"18,377,600,000"
11-Jul-17,"19,712,300,000"
10-Jul-17,"22,640,500,000"
9-Jul-17,"23,454,700,000"
8-Jul-17,"22,890,700,000"
7-Jul-17,"25,160,800,000"
6-Jul-17,"25,019,500,000"
5-Jul-17,"25,406,900,000"
4-Jul-17,"26,245,000,000"
3-Jul-17,"26,815,900,000"
2-Jul-17,"25,572,800,000"
1-Jul-17,"27,259,400,000"
30-Jun-17,"28,161,900,000"
29-Jun-17,"30,495,300,000"
28-Jun-17,"27,207,000,000"
27-Jun-17,"25,309,700,000"
26-Jun-17,"28,111,200,000"
25-Jun-17,"30,005,900,000"
24-Jun-17,"31,681,300,000"
23-Jun-17,"31,195,900,000"
22-Jun-17,"31,302,600,000"
21-Jun-17,"33,310,500,000"
20-Jun-17,"34,304,000,000"
19-Jun-17,"34,435,700,000"
18-Jun-17,"35,133,800,000"
17-Jun-17,"34,231,300,000"
16-Jun-17,"33,415,800,000"
15-Jun-17,"33,158,200,000"
14-Jun-17,"36,761,600,000"
13-Jun-17,"36,574,500,000"
12-Jun-17,"31,525,300,000"
11-Jun-17,"31,296,800,000"
10-Jun-17,"26,043,700,000"
9-Jun-17,"24,165,000,000"
8-Jun-17,"23,810,900,000"
7-Jun-17,"24,382,200,000"
6-Jun-17,"22,930,400,000"
5-Jun-17,"22,615,800,000"
4-Jun-17,"20,659,800,000"
3-Jun-17,"20,593,500,000"
2-Jun-17,"20,479,000,000"
1-Jun-17,"21,264,800,000"
31-May-17,"21,321,900,000"
30-May-17,"18,004,700,000"
29-May-17,"15,654,600,000"
28-May-17,"14,608,600,000"
27-May-17,"14,696,000,000"
26-May-17,"16,107,000,000"
25-May-17,"17,446,600,000"
24-May-17,"16,779,700,000"
23-May-17,"15,688,000,000"
22-May-17,"14,522,100,000"
21-May-17,"11,705,700,000"
20-May-17,"11,856,600,000"
19-May-17,"8,902,240,000"
18-May-17,"8,238,110,000"
17-May-17,"8,181,520,000"
16-May-17,"8,466,470,000"
15-May-17,"8,316,930,000"
14-May-17,"8,322,380,000"
13-May-17,"8,120,390,000"
12-May-17,"8,184,930,000"
11-May-17,"8,213,570,000"
10-May-17,"8,337,180,000"
9-May-17,"8,341,490,000"
8-May-17,"8,569,060,000"
7-May-17,"8,942,950,000"
6-May-17,"8,669,910,000"
5-May-17,"8,833,520,000"
4-May-17,"7,277,480,000"
3-May-17,"7,050,050,000"
2-May-17,"6,992,980,000"
1-May-17,"7,234,070,000"
30-Apr-17,"6,248,840,000"
29-Apr-17,"6,506,490,000"
28-Apr-17,"5,669,550,000"
27-Apr-17,"4,809,630,000"
26-Apr-17,"4,544,370,000"
25-Apr-17,"4,557,870,000"
