Date,marketCap
22-Sep-17,"2,474,380,000"
21-Sep-17,"2,739,370,000"
20-Sep-17,"2,795,880,000"
19-Sep-17,"2,950,880,000"
18-Sep-17,"2,571,070,000"
17-Sep-17,"2,554,450,000"
16-Sep-17,"2,548,580,000"
15-Sep-17,"2,206,520,000"
14-Sep-17,"3,261,960,000"
13-Sep-17,"3,402,820,000"
12-Sep-17,"3,503,300,000"
11-Sep-17,"3,259,510,000"
10-Sep-17,"3,478,400,000"
9-Sep-17,"3,551,950,000"
8-Sep-17,"4,144,630,000"
7-Sep-17,"4,218,690,000"
6-Sep-17,"3,789,670,000"
5-Sep-17,"3,444,150,000"
4-Sep-17,"4,049,140,000"
3-Sep-17,"4,166,600,000"
2-Sep-17,"4,526,680,000"
1-Sep-17,"3,735,870,000"
31-Aug-17,"3,381,750,000"
30-Aug-17,"3,328,240,000"
29-Aug-17,"3,286,610,000"
28-Aug-17,"3,231,200,000"
27-Aug-17,"2,726,990,000"
26-Aug-17,"2,692,560,000"
25-Aug-17,"2,639,490,000"
24-Aug-17,"2,778,190,000"
23-Aug-17,"2,456,090,000"
22-Aug-17,"2,517,440,000"
21-Aug-17,"2,427,130,000"
20-Aug-17,"2,383,680,000"
19-Aug-17,"2,471,190,000"
18-Aug-17,"2,304,770,000"
17-Aug-17,"2,318,000,000"
16-Aug-17,"2,275,660,000"
15-Aug-17,"2,403,520,000"
14-Aug-17,"2,403,870,000"
13-Aug-17,"2,441,760,000"
12-Aug-17,"2,466,360,000"
11-Aug-17,"2,431,830,000"
10-Aug-17,"2,517,300,000"
9-Aug-17,"2,544,750,000"
8-Aug-17,"2,403,230,000"
7-Aug-17,"2,364,540,000"
6-Aug-17,"2,451,490,000"
5-Aug-17,"2,275,090,000"
4-Aug-17,"2,243,440,000"
3-Aug-17,"2,206,190,000"
2-Aug-17,"2,251,650,000"
1-Aug-17,"2,248,110,000"
31-Jul-17,"2,107,540,000"
30-Jul-17,"2,150,970,000"
29-Jul-17,"2,117,650,000"
28-Jul-17,"2,203,520,000"
27-Jul-17,"2,210,020,000"
26-Jul-17,"2,206,000,000"
25-Jul-17,"2,319,870,000"
24-Jul-17,"2,302,370,000"
23-Jul-17,"2,430,320,000"
22-Jul-17,"2,385,020,000"
21-Jul-17,"2,347,580,000"
20-Jul-17,"2,132,670,000"
19-Jul-17,"2,308,550,000"
18-Jul-17,"2,218,090,000"
17-Jul-17,"2,142,760,000"
16-Jul-17,"2,024,150,000"
15-Jul-17,"2,225,560,000"
14-Jul-17,"2,409,670,000"
13-Jul-17,"2,531,820,000"
12-Jul-17,"2,350,960,000"
11-Jul-17,"2,403,210,000"
10-Jul-17,"2,591,230,000"
9-Jul-17,"2,717,950,000"
8-Jul-17,"2,420,160,000"
7-Jul-17,"2,650,900,000"
6-Jul-17,"2,758,680,000"
5-Jul-17,"2,865,630,000"
4-Jul-17,"2,413,260,000"
3-Jul-17,"2,149,160,000"
2-Jul-17,"2,017,570,000"
1-Jul-17,"2,092,370,000"
30-Jun-17,"2,124,870,000"
29-Jun-17,"2,216,710,000"
28-Jun-17,"2,111,870,000"
27-Jun-17,"2,127,600,000"
26-Jun-17,"2,277,350,000"
25-Jun-17,"2,300,180,000"
24-Jun-17,"2,442,000,000"
23-Jun-17,"2,467,280,000"
22-Jun-17,"2,465,100,000"
21-Jun-17,"2,442,610,000"
20-Jun-17,"2,602,590,000"
19-Jun-17,"2,382,490,000"
18-Jun-17,"2,447,790,000"
17-Jun-17,"1,866,370,000"
16-Jun-17,"1,561,380,000"
15-Jun-17,"1,557,670,000"
14-Jun-17,"1,584,220,000"
13-Jun-17,"1,519,410,000"
12-Jun-17,"1,711,460,000"
11-Jun-17,"1,570,430,000"
10-Jun-17,"1,528,070,000"
9-Jun-17,"1,553,630,000"
8-Jun-17,"1,460,360,000"
7-Jun-17,"1,572,550,000"
6-Jun-17,"1,586,150,000"
5-Jun-17,"1,444,260,000"
4-Jun-17,"1,421,270,000"
3-Jun-17,"1,492,070,000"
2-Jun-17,"1,484,470,000"
1-Jun-17,"1,301,540,000"
31-May-17,"1,247,240,000"
30-May-17,"1,299,460,000"
29-May-17,"1,248,110,000"
28-May-17,"1,231,490,000"
27-May-17,"1,200,170,000"
26-May-17,"1,554,680,000"
25-May-17,"1,766,650,000"
24-May-17,"1,645,910,000"
23-May-17,"1,296,170,000"
22-May-17,"1,338,680,000"
21-May-17,"1,406,610,000"
20-May-17,"1,416,690,000"
19-May-17,"1,447,310,000"
18-May-17,"1,287,210,000"
17-May-17,"1,188,550,000"
16-May-17,"1,295,310,000"
15-May-17,"1,476,700,000"
14-May-17,"1,486,220,000"
13-May-17,"1,390,150,000"
12-May-17,"1,579,240,000"
11-May-17,"1,666,830,000"
10-May-17,"1,699,070,000"
9-May-17,"1,477,510,000"
8-May-17,"1,548,860,000"
7-May-17,"1,437,700,000"
6-May-17,"1,348,870,000"
5-May-17,"1,195,810,000"
4-May-17,"1,071,840,000"
3-May-17,"808,247,000"
2-May-17,"810,373,000"
1-May-17,"799,215,000"
30-Apr-17,"798,743,000"
29-Apr-17,"732,129,000"
28-Apr-17,"741,933,000"
27-Apr-17,"754,472,000"
26-Apr-17,"772,651,000"
25-Apr-17,"760,872,000"
24-Apr-17,"709,098,000"
23-Apr-17,"663,271,000"
22-Apr-17,"567,234,000"
21-Apr-17,"522,165,000"
20-Apr-17,"488,681,000"
19-Apr-17,"522,923,000"
18-Apr-17,"528,060,000"
17-Apr-17,"536,824,000"
16-Apr-17,"544,263,000"
15-Apr-17,"523,678,000"
14-Apr-17,"512,838,000"
13-Apr-17,"544,751,000"
12-Apr-17,"446,780,000"
11-Apr-17,"450,735,000"
10-Apr-17,"440,977,000"
9-Apr-17,"499,887,000"
8-Apr-17,"471,828,000"
7-Apr-17,"516,533,000"
6-Apr-17,"561,808,000"
5-Apr-17,"416,432,000"
4-Apr-17,"409,793,000"
3-Apr-17,"390,802,000"
2-Apr-17,"346,209,000"
1-Apr-17,"335,526,000"
31-Mar-17,"353,860,000"
30-Mar-17,"210,627,000"
29-Mar-17,"208,728,000"
28-Mar-17,"205,012,000"
27-Mar-17,"204,793,000"
26-Mar-17,"204,723,000"
25-Mar-17,"205,034,000"
24-Mar-17,"199,924,000"
23-Mar-17,"197,783,000"
22-Mar-17,"200,521,000"
21-Mar-17,"202,923,000"
20-Mar-17,"198,555,000"
19-Mar-17,"198,801,000"
18-Mar-17,"202,967,000"
17-Mar-17,"212,582,000"
16-Mar-17,"208,204,000"
15-Mar-17,"203,099,000"
14-Mar-17,"209,412,000"
13-Mar-17,"192,979,000"
12-Mar-17,"189,874,000"
11-Mar-17,"188,428,000"
10-Mar-17,"191,858,000"
9-Mar-17,"188,704,000"
8-Mar-17,"190,712,000"
7-Mar-17,"194,991,000"
6-Mar-17,"193,846,000"
5-Mar-17,"193,336,000"
4-Mar-17,"195,730,000"
3-Mar-17,"196,144,000"
2-Mar-17,"189,785,000"
1-Mar-17,"188,623,000"
28-Feb-17,"190,098,000"
27-Feb-17,"190,522,000"
26-Feb-17,"190,585,000"
25-Feb-17,"192,344,000"
24-Feb-17,"191,226,000"
23-Feb-17,"189,631,000"
22-Feb-17,"188,961,000"
21-Feb-17,"187,718,000"
20-Feb-17,"187,912,000"
19-Feb-17,"189,049,000"
18-Feb-17,"190,755,000"
17-Feb-17,"188,226,000"
16-Feb-17,"189,087,000"
15-Feb-17,"187,657,000"
14-Feb-17,"184,921,000"
13-Feb-17,"187,506,000"
12-Feb-17,"188,829,000"
11-Feb-17,"187,849,000"
10-Feb-17,"188,981,000"
9-Feb-17,"200,288,000"
8-Feb-17,"201,226,000"
7-Feb-17,"201,352,000"
6-Feb-17,"201,525,000"
5-Feb-17,"201,824,000"
4-Feb-17,"202,727,000"
3-Feb-17,"202,531,000"
2-Feb-17,"202,147,000"
1-Feb-17,"202,128,000"
31-Jan-17,"199,116,000"
30-Jan-17,"191,115,000"
29-Jan-17,"190,873,000"
28-Jan-17,"190,872,000"
27-Jan-17,"190,149,000"
26-Jan-17,"183,873,000"
25-Jan-17,"187,625,000"
24-Jan-17,"189,741,000"
23-Jan-17,"190,717,000"
22-Jan-17,"192,953,000"
21-Jan-17,"192,408,000"
20-Jan-17,"190,693,000"
19-Jan-17,"189,782,000"
18-Jan-17,"194,678,000"
17-Jan-17,"192,814,000"
16-Jan-17,"193,560,000"
15-Jan-17,"191,859,000"
14-Jan-17,"191,987,000"
13-Jan-17,"194,684,000"
12-Jan-17,"189,108,000"
11-Jan-17,"226,517,000"
10-Jan-17,"211,857,000"
9-Jan-17,"196,828,000"
8-Jan-17,"194,906,000"
7-Jan-17,"190,143,000"
6-Jan-17,"211,689,000"
5-Jan-17,"241,730,000"
4-Jan-17,"227,855,000"
3-Jan-17,"228,878,000"
2-Jan-17,"222,154,000"
1-Jan-17,"212,691,000"
31-Dec-16,"215,734,000"
30-Dec-16,"224,021,000"
29-Dec-16,"224,755,000"
28-Dec-16,"220,199,000"
27-Dec-16,"214,286,000"
26-Dec-16,"213,135,000"
25-Dec-16,"223,317,000"
24-Dec-16,"227,716,000"
23-Dec-16,"182,056,000"
22-Dec-16,"179,542,000"
21-Dec-16,"179,441,000"
20-Dec-16,"179,159,000"
19-Dec-16,"179,953,000"
18-Dec-16,"181,204,000"
17-Dec-16,"177,535,000"
16-Dec-16,"177,349,000"
15-Dec-16,"176,603,000"
14-Dec-16,"178,719,000"
13-Dec-16,"179,068,000"
12-Dec-16,"177,808,000"
11-Dec-16,"180,064,000"
10-Dec-16,"180,350,000"
9-Dec-16,"180,109,000"
8-Dec-16,"175,746,000"
7-Dec-16,"172,683,000"
6-Dec-16,"170,093,000"
5-Dec-16,"189,313,000"
4-Dec-16,"191,594,000"
3-Dec-16,"192,376,000"
2-Dec-16,"190,840,000"
1-Dec-16,"190,306,000"
30-Nov-16,"189,196,000"
29-Nov-16,"189,365,000"
28-Nov-16,"189,561,000"
27-Nov-16,"190,001,000"
26-Nov-16,"190,557,000"
25-Nov-16,"190,123,000"
24-Nov-16,"190,992,000"
23-Nov-16,"192,719,000"
22-Nov-16,"191,849,000"
21-Nov-16,"190,816,000"
20-Nov-16,"192,391,000"
19-Nov-16,"192,896,000"
18-Nov-16,"191,930,000"
17-Nov-16,"196,573,000"
16-Nov-16,"188,998,000"
15-Nov-16,"188,377,000"
14-Nov-16,"187,837,000"
13-Nov-16,"182,326,000"
12-Nov-16,"184,604,000"
11-Nov-16,"185,609,000"
10-Nov-16,"186,617,000"
9-Nov-16,"185,956,000"
8-Nov-16,"185,467,000"
7-Nov-16,"187,897,000"
6-Nov-16,"186,487,000"
5-Nov-16,"187,313,000"
4-Nov-16,"186,157,000"
3-Nov-16,"198,519,000"
2-Nov-16,"197,384,000"
1-Nov-16,"192,875,000"
31-Oct-16,"194,664,000"
30-Oct-16,"197,445,000"
29-Oct-16,"191,631,000"
28-Oct-16,"194,431,000"
27-Oct-16,"190,729,000"
26-Oct-16,"188,315,000"
25-Oct-16,"186,325,000"
24-Oct-16,"188,620,000"
23-Oct-16,"187,295,000"
22-Oct-16,"183,201,000"
21-Oct-16,"182,216,000"
20-Oct-16,"183,013,000"
19-Oct-16,"184,789,000"
18-Oct-16,"189,918,000"
17-Oct-16,"186,886,000"
16-Oct-16,"186,368,000"
15-Oct-16,"187,173,000"
14-Oct-16,"187,679,000"
13-Oct-16,"179,685,000"
12-Oct-16,"183,178,000"
11-Oct-16,"182,337,000"
10-Oct-16,"183,200,000"
9-Oct-16,"184,174,000"
8-Oct-16,"185,048,000"
7-Oct-16,"183,775,000"
6-Oct-16,"184,097,000"
5-Oct-16,"183,364,000"
4-Oct-16,"183,632,000"
3-Oct-16,"184,113,000"
2-Oct-16,"183,871,000"
1-Oct-16,"183,883,000"
30-Sep-16,"183,655,000"
29-Sep-16,"183,299,000"
28-Sep-16,"183,854,000"
27-Sep-16,"184,100,000"
26-Sep-16,"181,334,000"
25-Sep-16,"181,090,000"
24-Sep-16,"181,929,000"
23-Sep-16,"179,509,000"
22-Sep-16,"183,805,000"
21-Sep-16,"184,357,000"
20-Sep-16,"182,404,000"
19-Sep-16,"192,499,000"
18-Sep-16,"181,377,000"
17-Sep-16,"180,848,000"
16-Sep-16,"181,512,000"
15-Sep-16,"182,156,000"
14-Sep-16,"181,565,000"
13-Sep-16,"182,131,000"
12-Sep-16,"183,908,000"
11-Sep-16,"188,515,000"
10-Sep-16,"188,630,000"
9-Sep-16,"189,118,000"
8-Sep-16,"188,381,000"
7-Sep-16,"189,261,000"
6-Sep-16,"188,974,000"
5-Sep-16,"190,686,000"
4-Sep-16,"184,540,000"
3-Sep-16,"181,349,000"
2-Sep-16,"181,757,000"
1-Sep-16,"179,752,000"
31-Aug-16,"180,189,000"
30-Aug-16,"178,314,000"
29-Aug-16,"176,842,000"
28-Aug-16,"176,715,000"
27-Aug-16,"180,864,000"
26-Aug-16,"179,722,000"
25-Aug-16,"182,248,000"
24-Aug-16,"185,610,000"
23-Aug-16,"173,066,000"
22-Aug-16,"170,790,000"
21-Aug-16,"170,829,000"
20-Aug-16,"170,236,000"
19-Aug-16,"170,319,000"
18-Aug-16,"169,884,000"
17-Aug-16,"171,832,000"
16-Aug-16,"168,951,000"
15-Aug-16,"171,883,000"
14-Aug-16,"175,008,000"
13-Aug-16,"174,620,000"
12-Aug-16,"175,966,000"
11-Aug-16,"174,921,000"
10-Aug-16,"176,955,000"
9-Aug-16,"177,889,000"
8-Aug-16,"177,444,000"
7-Aug-16,"176,649,000"
6-Aug-16,"174,833,000"
5-Aug-16,"175,755,000"
4-Aug-16,"174,289,000"
3-Aug-16,"170,828,000"
2-Aug-16,"181,673,000"
1-Aug-16,"190,585,000"
31-Jul-16,"191,302,000"
30-Jul-16,"191,389,000"
29-Jul-16,"186,270,000"
28-Jul-16,"185,791,000"
27-Jul-16,"185,692,000"
26-Jul-16,"189,020,000"
25-Jul-16,"190,621,000"
24-Jul-16,"190,145,000"
23-Jul-16,"189,102,000"
22-Jul-16,"192,936,000"
21-Jul-16,"193,228,000"
20-Jul-16,"193,958,000"
19-Jul-16,"194,028,000"
18-Jul-16,"196,145,000"
17-Jul-16,"193,199,000"
16-Jul-16,"193,834,000"
15-Jul-16,"193,859,000"
14-Jul-16,"193,166,000"
13-Jul-16,"194,119,000"
12-Jul-16,"190,754,000"
11-Jul-16,"192,038,000"
10-Jul-16,"191,996,000"
9-Jul-16,"197,337,000"
8-Jul-16,"191,626,000"
7-Jul-16,"209,306,000"
6-Jul-16,"207,751,000"
5-Jul-16,"212,025,000"
4-Jul-16,"198,695,000"
3-Jul-16,"216,679,000"
2-Jul-16,"198,801,000"
1-Jul-16,"194,823,000"
30-Jun-16,"189,371,000"
29-Jun-16,"190,440,000"
28-Jun-16,"192,051,000"
27-Jun-16,"187,984,000"
26-Jun-16,"196,813,000"
25-Jun-16,"198,221,000"
24-Jun-16,"178,563,000"
23-Jun-16,"181,586,000"
22-Jun-16,"223,663,000"
21-Jun-16,"244,250,000"
20-Jun-16,"260,458,000"
19-Jun-16,"257,369,000"
18-Jun-16,"259,298,000"
17-Jun-16,"262,382,000"
16-Jun-16,"242,907,000"
15-Jun-16,"241,446,000"
14-Jun-16,"245,165,000"
13-Jun-16,"250,146,000"
12-Jun-16,"234,022,000"
11-Jun-16,"225,407,000"
10-Jun-16,"219,324,000"
9-Jun-16,"220,448,000"
8-Jun-16,"220,210,000"
7-Jun-16,"228,462,000"
6-Jun-16,"221,912,000"
5-Jun-16,"221,106,000"
4-Jun-16,"224,016,000"
3-Jun-16,"217,333,000"
2-Jun-16,"218,428,000"
1-Jun-16,"214,171,000"
31-May-16,"215,697,000"
30-May-16,"213,115,000"
29-May-16,"215,630,000"
28-May-16,"207,386,000"
27-May-16,"187,948,000"
26-May-16,"185,862,000"
25-May-16,"181,463,000"
24-May-16,"182,003,000"
23-May-16,"180,067,000"
22-May-16,"181,558,000"
21-May-16,"178,150,000"
20-May-16,"175,409,000"
19-May-16,"183,495,000"
18-May-16,"182,396,000"
17-May-16,"183,427,000"
16-May-16,"186,086,000"
15-May-16,"183,781,000"
14-May-16,"179,752,000"
13-May-16,"176,401,000"
12-May-16,"177,543,000"
11-May-16,"174,695,000"
10-May-16,"185,501,000"
9-May-16,"179,947,000"
8-May-16,"179,835,000"
7-May-16,"174,435,000"
6-May-16,"169,660,000"
5-May-16,"170,776,000"
4-May-16,"170,729,000"
3-May-16,"167,955,000"
2-May-16,"169,120,000"
1-May-16,"166,735,000"
30-Apr-16,"173,790,000"
29-Apr-16,"172,762,000"
28-Apr-16,"176,662,000"
27-Apr-16,"184,330,000"
26-Apr-16,"172,756,000"
25-Apr-16,"164,835,000"
24-Apr-16,"152,206,000"
23-Apr-16,"150,997,000"
22-Apr-16,"152,137,000"
21-Apr-16,"149,099,000"
20-Apr-16,"149,541,000"
19-Apr-16,"147,546,000"
18-Apr-16,"148,017,000"
17-Apr-16,"148,864,000"
16-Apr-16,"148,813,000"
15-Apr-16,"147,106,000"
14-Apr-16,"147,175,000"
13-Apr-16,"147,911,000"
12-Apr-16,"146,827,000"
11-Apr-16,"146,206,000"
10-Apr-16,"145,907,000"
9-Apr-16,"145,963,000"
8-Apr-16,"146,734,000"
