Date,marketCap
22-Sep-17,"6,578,530,000"
21-Sep-17,"6,939,500,000"
20-Sep-17,"7,044,160,000"
19-Sep-17,"7,278,390,000"
18-Sep-17,"6,837,060,000"
17-Sep-17,"6,839,640,000"
16-Sep-17,"6,975,690,000"
15-Sep-17,"6,328,090,000"
14-Sep-17,"7,685,140,000"
13-Sep-17,"8,038,030,000"
12-Sep-17,"8,238,550,000"
11-Sep-17,"8,148,560,000"
10-Sep-17,"8,037,080,000"
9-Sep-17,"8,101,800,000"
8-Sep-17,"8,574,260,000"
7-Sep-17,"8,680,360,000"
6-Sep-17,"8,242,060,000"
5-Sep-17,"7,864,700,000"
4-Sep-17,"8,772,340,000"
3-Sep-17,"8,712,840,000"
2-Sep-17,"9,560,940,000"
1-Sep-17,"9,808,460,000"
31-Aug-17,"8,725,450,000"
30-Aug-17,"8,392,340,000"
29-Aug-17,"8,590,000,000"
28-Aug-17,"7,800,090,000"
27-Aug-17,"8,152,540,000"
26-Aug-17,"8,368,790,000"
25-Aug-17,"8,328,300,000"
24-Aug-17,"9,676,890,000"
23-Aug-17,"9,240,380,000"
22-Aug-17,"7,475,950,000"
21-Aug-17,"6,074,040,000"
20-Aug-17,"5,926,770,000"
19-Aug-17,"6,117,890,000"
18-Aug-17,"6,024,470,000"
17-Aug-17,"6,165,190,000"
16-Aug-17,"6,182,490,000"
15-Aug-17,"6,510,400,000"
14-Aug-17,"6,457,680,000"
13-Aug-17,"6,655,930,000"
12-Aug-17,"6,873,590,000"
11-Aug-17,"6,910,180,000"
10-Aug-17,"7,023,380,000"
9-Aug-17,"7,382,220,000"
8-Aug-17,"6,886,620,000"
7-Aug-17,"6,891,020,000"
6-Aug-17,"7,108,860,000"
5-Aug-17,"6,666,640,000"
4-Aug-17,"6,693,120,000"
3-Aug-17,"6,639,970,000"
2-Aug-17,"6,805,300,000"
1-Aug-17,"6,440,860,000"
31-Jul-17,"6,326,860,000"
30-Jul-17,"6,497,250,000"
29-Jul-17,"6,333,340,000"
28-Jul-17,"6,639,700,000"
27-Jul-17,"6,716,190,000"
26-Jul-17,"6,807,110,000"
25-Jul-17,"7,370,540,000"
24-Jul-17,"7,466,020,000"
23-Jul-17,"7,411,980,000"
22-Jul-17,"6,975,460,000"
21-Jul-17,"7,253,530,000"
20-Jul-17,"6,510,190,000"
19-Jul-17,"7,217,840,000"
18-Jul-17,"6,879,740,000"
17-Jul-17,"5,749,320,000"
16-Jul-17,"6,489,640,000"
15-Jul-17,"7,312,750,000"
14-Jul-17,"7,689,650,000"
13-Jul-17,"7,883,170,000"
12-Jul-17,"7,053,180,000"
11-Jul-17,"7,520,990,000"
10-Jul-17,"8,962,770,000"
9-Jul-17,"9,070,620,000"
8-Jul-17,"9,180,000,000"
7-Jul-17,"9,758,870,000"
6-Jul-17,"9,816,910,000"
5-Jul-17,"9,769,110,000"
4-Jul-17,"9,949,670,000"
3-Jul-17,"9,916,580,000"
2-Jul-17,"9,745,600,000"
1-Jul-17,"10,065,100,000"
30-Jun-17,"10,187,800,000"
29-Jun-17,"10,743,200,000"
28-Jun-17,"10,545,100,000"
27-Jun-17,"10,617,700,000"
26-Jun-17,"11,440,300,000"
25-Jun-17,"11,901,600,000"
24-Jun-17,"12,222,100,000"
23-Jun-17,"11,400,100,000"
22-Jun-17,"11,482,700,000"
21-Jun-17,"12,429,900,000"
20-Jun-17,"11,188,200,000"
19-Jun-17,"10,873,600,000"
18-Jun-17,"10,265,000,000"
17-Jun-17,"10,045,800,000"
16-Jun-17,"9,935,290,000"
15-Jun-17,"10,662,200,000"
14-Jun-17,"10,188,000,000"
13-Jun-17,"9,728,120,000"
12-Jun-17,"10,466,000,000"
11-Jun-17,"9,943,590,000"
10-Jun-17,"10,953,900,000"
9-Jun-17,"11,115,900,000"
8-Jun-17,"10,848,900,000"
7-Jun-17,"10,994,700,000"
6-Jun-17,"11,355,900,000"
5-Jun-17,"11,581,200,000"
4-Jun-17,"11,524,200,000"
3-Jun-17,"11,604,300,000"
2-Jun-17,"12,885,900,000"
1-Jun-17,"9,330,770,000"
31-May-17,"7,854,880,000"
30-May-17,"8,881,150,000"
29-May-17,"8,689,830,000"
28-May-17,"8,142,790,000"
27-May-17,"10,430,500,000"
26-May-17,"9,374,260,000"
25-May-17,"11,245,100,000"
24-May-17,"12,525,200,000"
23-May-17,"12,074,100,000"
22-May-17,"13,039,500,000"
21-May-17,"13,608,300,000"
20-May-17,"12,663,000,000"
19-May-17,"14,006,800,000"
18-May-17,"15,128,200,000"
17-May-17,"13,603,300,000"
16-May-17,"10,335,800,000"
15-May-17,"8,429,940,000"
14-May-17,"8,242,620,000"
13-May-17,"7,917,710,000"
12-May-17,"7,000,780,000"
11-May-17,"7,023,110,000"
10-May-17,"6,014,860,000"
9-May-17,"7,560,680,000"
8-May-17,"5,375,270,000"
7-May-17,"3,868,770,000"
6-May-17,"3,546,160,000"
5-May-17,"3,045,130,000"
4-May-17,"2,313,340,000"
3-May-17,"2,042,180,000"
2-May-17,"2,070,240,000"
1-May-17,"1,954,090,000"
30-Apr-17,"2,000,600,000"
29-Apr-17,"1,688,070,000"
28-Apr-17,"1,320,040,000"
27-Apr-17,"1,243,640,000"
26-Apr-17,"1,227,080,000"
25-Apr-17,"1,189,920,000"
24-Apr-17,"1,183,370,000"
23-Apr-17,"1,207,680,000"
22-Apr-17,"1,254,840,000"
21-Apr-17,"1,126,210,000"
20-Apr-17,"1,135,700,000"
19-Apr-17,"1,245,350,000"
18-Apr-17,"1,262,530,000"
17-Apr-17,"1,253,560,000"
16-Apr-17,"1,271,610,000"
15-Apr-17,"1,258,400,000"
14-Apr-17,"1,285,920,000"
13-Apr-17,"1,292,790,000"
12-Apr-17,"1,238,110,000"
11-Apr-17,"1,263,420,000"
10-Apr-17,"1,280,150,000"
9-Apr-17,"1,343,050,000"
8-Apr-17,"1,363,900,000"
7-Apr-17,"1,228,290,000"
6-Apr-17,"1,338,210,000"
